id;monto;pago_cuota;cantidad_cuotas;tomado;inicio_pago;mutual_id
1;21903;65237;33900;2022-01-11;2022-01-11;1
2;88334;61614;18568;2022-01-11;2022-01-11;2
3;23472;6609;32716;2022-01-11;2022-01-11;3
4;63898;15168;96708;2022-01-11;2022-01-11;4
5;37312;47634;82755;2022-01-12;2022-01-12;5
6;75266;17176;98174;2022-01-11;2022-01-11;6
7;88200;48631;6982;2022-01-11;2022-01-11;7
8;35880;71370;51397;2022-01-11;2022-01-11;8
9;70985;82803;16364;2022-01-11;2022-01-11;9
10;44938;14042;77354;2022-01-11;2022-01-12;10
